lex_const_id             7         const
lex_int_id               1         int
lex_indentifer           20        jump
lex_equal_id             32        =
lex_NotZeroHeadNum_id    45        10
lex_semicolon_id         34        ;
lex_void_id              6         void
lex_main_id              19        main
lex_leftparenthesis_id   39        (
lex_rightparenthesis_id  40        )
lex_leftbraces_id        43        {
lex_int_id               1         int
lex_indentifer           20        a
lex_semicolon_id         34        ;
lex_scanf_id             17        scanf
lex_leftparenthesis_id   39        (
lex_indentifer           20        a
lex_rightparenthesis_id  40        )
lex_semicolon_id         34        ;
lex_if_id                8         if
lex_leftparenthesis_id   39        (
lex_indentifer           20        jump
lex_greaterequal_id      29        >=
lex_indentifer           20        a
lex_rightparenthesis_id  40        )
lex_leftbraces_id        43        {
lex_printf_id            16        printf
lex_leftparenthesis_id   39        (
lex_string_id            46        "BIGGER"
lex_rightparenthesis_id  40        )
lex_semicolon_id         34        ;
lex_rightbraces_id       44        }
lex_else_id              9         else
lex_leftbraces_id        43        {
lex_printf_id            16        printf
lex_leftparenthesis_id   39        (
lex_string_id            46        "SMALLER"
lex_rightparenthesis_id  40        )
lex_semicolon_id         34        ;
lex_rightbraces_id       44        }
lex_rightbraces_id       44        }
